generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
51,0.5236393333333333,0.049948229326862915,0.14653311610087277,0.042523671169339715,0.02223449274209826,0.008541659697555173,1.0,0.0,1.0,0.0,5441377.503626573,4831547175.565293,412.12095238095236,5426521.6538102245,57215.73111953451,4847100613.150558,32778090.354268096,411.8835476190476,2.911036144343356,0
52,0.5236393333333333,0.049948229326862915,0.14653311610087277,0.042523671169339715,0.02223449274209826,0.008541659697555173,1.0,0.0,1.0,0.0,5441377.503626573,4831547175.565293,412.12095238095236,5425735.914534364,57243.8818976826,4846291043.366785,32516211.726029098,411.8835476190476,2.911036144343356,0
53,0.5236393333333333,0.049948229326862915,0.14653311610087277,0.042523671169339715,0.02223449274209826,0.008541659697555173,1.0,0.0,1.0,0.0,5441377.503626573,4831547175.565293,412.12095238095236,5424583.308116356,55909.196674640356,4844846477.570565,32928320.56543272,411.8835476190476,2.911036144343356,0
54,0.5236393333333333,0.049948229326862915,0.14653311610087277,0.042523671169339715,0.02223449274209826,0.008541659697555173,1.0,0.0,1.0,0.0,5441377.503626573,4831547175.565293,412.12095238095236,5423994.236877605,56258.11913450023,4844605392.253481,32853845.578167684,411.8835476190476,2.911036144343356,0
55,0.5357920000000002,0.05185126050541104,0.13787213187246466,0.04167264452157681,0.022043842406364145,0.011829986030676776,1.0,0.0,1.0,0.0,5441377.503626573,4831547175.565293,412.12095238095236,5422150.112877616,56173.89221758842,4843813582.387744,33392673.82842729,411.8835476190476,2.911036144343356,0
56,0.5357920000000002,0.05185126050541104,0.13787213187246466,0.04167264452157681,0.022043842406364145,0.011829986030676776,1.0,0.0,1.0,0.0,5441377.503626573,4831547175.565293,412.12095238095236,5420971.01932211,55689.16249259422,4843658280.669013,33187540.262442064,411.8835476190476,2.911036144343356,0
57,0.5357920000000002,0.05185126050541104,0.13787213187246466,0.04167264452157681,0.022043842406364145,0.011829986030676776,1.0,0.0,1.0,0.0,5441377.503626573,4831547175.565293,412.12095238095236,5419256.071471352,57227.304382411035,4843265973.868883,32956594.181149386,411.8835476190476,2.911036144343356,0
58,0.5357920000000002,0.05185126050541104,0.13787213187246466,0.04167264452157681,0.022043842406364145,0.011829986030676776,1.0,0.0,1.0,0.0,5437992.5702756215,4831547175.565293,412.12095238095236,5418254.163894569,57519.53224733604,4842257521.204349,32675640.323210888,411.8835476190476,2.911036144343356,0
59,0.5357920000000002,0.05185126050541104,0.13787213187246466,0.04167264452157681,0.022043842406364145,0.011829986030676776,1.0,0.0,1.0,0.0,5437992.5702756215,4831547175.565293,412.12095238095236,5417176.401370355,56369.72272787388,4842035435.847617,32916776.280071482,411.8835476190476,2.911036144343356,0
60,0.5453593333333334,0.05201865036909571,0.13174150708225688,0.041394520480159826,0.02223080856529351,0.01207992340587389,1.0,0.0,1.0,0.0,5437992.5702756215,4831547175.565293,412.12095238095236,5416624.026748785,56455.86032837308,4841552957.33492,33690767.32336516,411.8835476190476,2.911036144343356,0
