generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
77,0.0018968054529175825,0.008588247977047131,2.0776969833162884,0.8296713687137091,0.011310196120851377,0.018094027716996974,1.0,0.0,1.0,0.0,5478008.464069836,407.8542857142857,0,0.0,0.0,0.0,977.9436982360646,156169.67888497587
78,0.0018968054529175825,0.008588247977047131,2.0776969833162884,0.8296713687137091,0.011310196120851377,0.018094027716996974,1.0,0.0,1.0,0.0,5478008.464069836,407.8542857142857,0,0.0,0.0,0.0,977.3952416786633,156320.78604563468
79,0.0018968054529175825,0.008588247977047131,2.0776969833162884,0.8296713687137091,0.011310196120851377,0.018094027716996974,1.0,0.0,1.0,0.0,5478008.464069836,407.8542857142857,0,0.0,0.0,0.0,977.0465396311628,156428.89262028644
80,0.006592728387594473,0.026383622292931154,2.043291444688091,0.839154761734029,0.009435989452816408,0.01902109786323782,1.0,0.0,1.0,0.0,5471618.041785873,407.8542857142857,0,0.0,0.0,0.0,977.47791900077,156675.0675074803
81,0.006592728387594473,0.026383622292931154,2.043291444688091,0.839154761734029,0.009435989452816408,0.01902109786323782,1.0,0.0,1.0,0.0,5471618.041785873,407.8542857142857,0,0.0,0.0,0.0,979.0242292862657,156770.37798498262
82,0.006592728387594473,0.026383622292931154,2.043291444688091,0.839154761734029,0.009435989452816408,0.01902109786323782,1.0,0.0,1.0,0.0,5471618.041785873,407.8542857142857,0,0.0,0.0,0.0,978.5677820331792,156902.79321496474
83,0.006592728387594473,0.026383622292931154,2.043291444688091,0.839154761734029,0.009435989452816408,0.01902109786323782,1.0,0.0,1.0,0.0,5471618.041785873,407.8542857142857,0,0.0,0.0,0.0,977.2982326658954,157061.37478613315
84,0.006592728387594473,0.026383622292931154,2.043291444688091,0.839154761734029,0.009435989452816408,0.01902109786323782,1.0,0.0,1.0,0.0,5471243.241252656,407.8542857142857,0,0.0,0.0,0.0,976.7995870221564,156974.53445911975
85,0.011038484861536354,0.039672471957380134,2.004084359870318,0.8265613917841483,0.0025982787784071325,0.002169978963998933,1.0,0.0,1.0,0.0,5471007.494218388,407.8542857142857,0,0.0,0.0,0.0,976.4015271990744,157068.91421021536
86,0.011038484861536354,0.039672471957380134,2.004084359870318,0.8265613917841483,0.0025982787784071325,0.002169978963998933,1.0,0.0,1.0,0.0,5469481.550538397,407.8542857142857,0,0.0,0.0,0.0,976.2472488839289,157054.3195620249
87,0.011038484861536354,0.039672471957380134,2.004084359870318,0.8265613917841483,0.0025982787784071325,0.002169978963998933,1.0,0.0,1.0,0.0,5469481.550538397,407.8542857142857,0,0.0,0.0,0.0,976.2291457919978,157159.09973572163
88,0.011038484861536354,0.039672471957380134,2.004084359870318,0.8265613917841483,0.0025982787784071325,0.002169978963998933,1.0,0.0,1.0,0.0,5469481.550538397,407.8542857142857,0,0.0,0.0,0.0,976.1325959683646,157080.11282708374
89,0.011038484861536354,0.039672471957380134,2.004084359870318,0.8265613917841483,0.0025982787784071325,0.002169978963998933,1.0,0.0,1.0,0.0,5467171.898024376,407.8542857142857,0,0.0,0.0,0.0,976.0209602347887,157058.53472085894
90,0.013819401165600157,0.04526543479275227,1.9455654132766347,0.7745234507027151,0.005882721482817059,0.010002297493250323,1.0,0.0,1.0,0.0,5451885.740122574,407.8542857142857,0,0.0,0.0,0.0,976.0028571428575,157012.07371670788
91,0.013819401165600157,0.04526543479275227,1.9455654132766347,0.7745234507027151,0.005882721482817059,0.010002297493250323,1.0,0.0,1.0,0.0,5451885.740122574,407.8542857142857,0,0.0,0.0,0.0,976.0028571428575,156887.2676355635
92,0.013819401165600157,0.04526543479275227,1.9455654132766347,0.7745234507027151,0.005882721482817059,0.010002297493250323,1.0,0.0,1.0,0.0,5451885.740122574,407.8542857142857,0,0.0,0.0,0.0,975.9528057142859,156828.37595562002
93,0.013819401165600157,0.04526543479275227,1.9455654132766347,0.7745234507027151,0.005882721482817059,0.010002297493250323,1.0,0.0,1.0,0.0,5450729.919498967,407.8542857142857,0,0.0,0.0,0.0,975.869386666667,156789.53886849916
94,0.013819401165600157,0.04526543479275227,1.9455654132766347,0.7745234507027151,0.005882721482817059,0.010002297493250323,1.0,0.0,1.0,0.0,5450729.919498967,407.8542857142857,0,0.0,0.0,0.0,975.7929192063494,156655.23564589248
95,0.015230376126003396,0.04862745069670485,1.9166287895469132,0.7606218732654474,0.0032847547141263934,0.005831174254799448,1.0,0.0,1.0,0.0,5450282.146610078,407.8542857142857,0,0.0,0.0,0.0,975.6944383862436,156582.90209865384
96,0.015230376126003396,0.04862745069670485,1.9166287895469132,0.7606218732654474,0.0032847547141263934,0.005831174254799448,1.0,0.0,1.0,0.0,5447369.510109933,407.8542857142857,0,0.0,0.0,0.0,975.869386666667,156425.17326284834
97,0.015230376126003396,0.04862745069670485,1.9166287895469132,0.7606218732654474,0.0032847547141263934,0.005831174254799448,1.0,0.0,1.0,0.0,5447369.510109933,407.8542857142857,0,0.0,0.0,0.0,976.0028571428575,156294.77597849583
98,0.015230376126003396,0.04862745069670485,1.9166287895469132,0.7606218732654474,0.0032847547141263934,0.005831174254799448,1.0,0.0,1.0,0.0,5445085.226940634,407.8542857142857,0,0.0,0.0,0.0,976.0028571428575,156197.56837494086
99,0.015230376126003396,0.04862745069670485,1.9166287895469132,0.7606218732654474,0.0032847547141263934,0.005831174254799448,1.0,0.0,1.0,0.0,5445085.226940634,407.8542857142857,0,0.0,0.0,0.0,976.0028571428575,156035.73305220404
100,0.01839929702932869,0.0533092695942028,1.897729424864354,0.7678712595172763,0.0022781591309454837,0.003500527013001327,1.0,0.0,1.0,0.0,5445085.226940634,407.8542857142857,0,0.0,0.0,0.0,976.0028571428575,156247.50826919408
101,0.01839929702932869,0.0533092695942028,1.897729424864354,0.7678712595172763,0.0022781591309454837,0.003500527013001327,1.0,0.0,1.0,0.0,5445085.226940634,407.8542857142857,0,0.0,0.0,0.0,976.0028571428575,156082.1438540048
102,0.01839929702932869,0.0533092695942028,1.897729424864354,0.7678712595172763,0.0022781591309454837,0.003500527013001327,1.0,0.0,1.0,0.0,5445085.226940634,407.8542857142857,0,0.0,0.0,0.0,976.303165714286,156281.08265565292
103,0.01839929702932869,0.0533092695942028,1.897729424864354,0.7678712595172763,0.0022781591309454837,0.003500527013001327,1.0,0.0,1.0,0.0,5444964.200180687,407.8542857142857,0,0.0,0.0,0.0,976.6034742857147,156414.24265655183
104,0.01839929702932869,0.0533092695942028,1.897729424864354,0.7678712595172763,0.0022781591309454837,0.003500527013001327,1.0,0.0,1.0,0.0,5444964.200180687,407.8542857142857,0,0.0,0.0,0.0,976.6034742857147,156327.92743156757
105,0.019434820733992268,0.05610339631322062,1.856935694958877,0.7547002034233571,0.04597661776461655,0.23449708622470603,1.0,0.0,1.0,0.0,5444514.196658509,407.8542857142857,0,0.0,0.0,0.0,978.405325714286,156263.16466509888
