generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
45,0.0,0.0,2.2685018338465217,0.5419121897707878,0.056844157329023245,0.09386840383434632,1.0,0.0,1.0,0.0,5485654.076893415,407.8542857142857,0,0.0,0.0,0.0,1381.2505479482777,150650.623859658
46,0.0,0.0,2.2685018338465217,0.5419121897707878,0.056844157329023245,0.09386840383434632,1.0,0.0,1.0,0.0,5485654.076893415,407.8542857142857,0,0.0,0.0,0.0,1370.025859877693,150411.83089189607
47,0.0,0.0,2.2685018338465217,0.5419121897707878,0.056844157329023245,0.09386840383434632,1.0,0.0,1.0,0.0,5460922.338412307,407.8542857142857,0,0.0,0.0,0.0,1351.8697864534722,150116.18948538453
48,0.0,0.0,2.2685018338465217,0.5419121897707878,0.056844157329023245,0.09386840383434632,1.0,0.0,1.0,0.0,5460922.338412307,407.8542857142857,0,0.0,0.0,0.0,1350.4990237394559,150215.82587878706
49,0.0,0.0,2.2685018338465217,0.5419121897707878,0.056844157329023245,0.09386840383434632,1.0,0.0,1.0,0.0,5460922.338412307,407.8542857142857,0,0.0,0.0,0.0,1350.1004873375678,150040.18676877362
50,0.0,0.0,2.0212705218269083,0.5096411935475756,0.046289288095617345,0.10451781414552383,1.0,0.0,1.0,0.0,5460649.082265823,407.8542857142857,0,0.0,0.0,0.0,1348.8129735838395,150153.93626899336
51,0.0,0.0,2.0212705218269083,0.5096411935475756,0.046289288095617345,0.10451781414552383,1.0,0.0,1.0,0.0,5460649.082265823,407.8542857142857,0,0.0,0.0,0.0,1352.0576421377352,150235.3765910325
52,0.0,0.0,2.0212705218269083,0.5096411935475756,0.046289288095617345,0.10451781414552383,1.0,0.0,1.0,0.0,5457747.896280099,407.8542857142857,0,0.0,0.0,0.0,1361.3803205894574,149986.08373409443
53,0.0,0.0,2.0212705218269083,0.5096411935475756,0.046289288095617345,0.10451781414552383,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1356.1332803684124,150078.02119209283
54,0.0,0.0,2.0212705218269083,0.5096411935475756,0.046289288095617345,0.10451781414552383,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1350.7995917120513,149782.88036428342
55,0.0038006133366773848,0.014224712447978788,1.8663856524854927,0.5507397742720647,0.05526798585733894,0.09811568708734308,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1340.6332080756063,149661.24414631532
56,0.0038006133366773848,0.014224712447978788,1.8663856524854927,0.5507397742720647,0.05526798585733894,0.09811568708734308,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1333.2530623346488,149459.30401593217
57,0.0038006133366773848,0.014224712447978788,1.8663856524854927,0.5507397742720647,0.05526798585733894,0.09811568708734308,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1323.9608536723738,149331.45078373497
58,0.0038006133366773848,0.014224712447978788,1.8663856524854927,0.5507397742720647,0.05526798585733894,0.09811568708734308,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1317.08757984613,149224.13370034617
59,0.0038006133366773848,0.014224712447978788,1.8663856524854927,0.5507397742720647,0.05526798585733894,0.09811568708734308,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1316.5619660948166,149121.29421264076
60,0.011943215227880215,0.04086325042264401,1.7354894112247046,0.5437339039754211,0.013945450009845721,0.021205339669363603,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1312.815236800104,149050.006085509
61,0.011943215227880215,0.04086325042264401,1.7354894112247046,0.5437339039754211,0.013945450009845721,0.021205339669363603,1.0,0.0,1.0,0.0,5426991.3168625,407.8542857142857,0,0.0,0.0,0.0,1309.6385869670667,149006.06196673596
62,0.011943215227880215,0.04086325042264401,1.7354894112247046,0.5437339039754211,0.013945450009845721,0.021205339669363603,1.0,0.0,1.0,0.0,5423467.94082333,407.8542857142857,0,0.0,0.0,0.0,1307.5945900283725,149096.0700732256
63,0.011943215227880215,0.04086325042264401,1.7354894112247046,0.5437339039754211,0.013945450009845721,0.021205339669363603,1.0,0.0,1.0,0.0,5410793.336476344,407.8542857142857,0,0.0,0.0,0.0,1307.9735012156248,148930.72622931527
64,0.011943215227880215,0.04086325042264401,1.7354894112247046,0.5437339039754211,0.013945450009845721,0.021205339669363603,1.0,0.0,1.0,0.0,5410793.336476344,407.8542857142857,0,0.0,0.0,0.0,1307.6972313091755,149041.6752546868
65,0.01905885603105139,0.06261138129388637,1.577707702679057,0.49634913464208535,0.017153728741822694,0.05346169290828299,1.0,0.0,1.0,0.0,5410793.336476344,407.8542857142857,0,0.0,0.0,0.0,1303.1353715237888,148977.6966230971
